comparison,sequence,eig
fair-bias,TTTT,0.08094931989160495
fair-bias,TTTH,0.014500477166210555
fair-bias,TTHT,0.014500477166210555
fair-bias,TTHH,-2.7755575615628904e-17
fair-bias,THTT,0.014500477166210555
fair-bias,THTH,-2.7755575615628904e-17
fair-bias,THHT,-2.7755575615628904e-17
fair-bias,THHH,0.014500477166210706
fair-bias,HTTT,0.014500477166210706
fair-bias,HTTH,-2.7755575615628904e-17
fair-bias,HTHT,-2.7755575615628904e-17
fair-bias,HTHH,0.014500477166210706
fair-bias,HHTT,-2.7755575615628904e-17
fair-bias,HHTH,0.014500477166210706
fair-bias,HHHT,0.014500477166210706
fair-bias,HHHH,0.08094931989160495
bias-markov,TTTT,0.0010782585807345675
bias-markov,TTTH,0.036526897516962226
bias-markov,TTHT,0.036526897516962226
bias-markov,TTHH,0.005116461024850902
bias-markov,THTT,0.036526897516962316
bias-markov,THTH,0.06432607246381453
bias-markov,THHT,0.005116461024850902
bias-markov,THHH,0.002412211541435664
bias-markov,HTTT,0.0024122115414355514
bias-markov,HTTH,0.0051164610248509625
bias-markov,HTHT,0.06432607246381457
bias-markov,HTHH,0.036526897516962246
bias-markov,HHTT,0.0051164610248509625
bias-markov,HHTH,0.036526897516962246
bias-markov,HHHT,0.036526897516962246
bias-markov,HHHH,0.0010782585807346
threeway,TTTT,0.06739736748944032
threeway,TTTH,0.024849072490256436
threeway,TTHT,0.024849072490256436
threeway,TTHH,0.004538486188490492
threeway,THTT,0.02484907249025641
threeway,THTH,0.05568205946813872
threeway,THHT,0.004538486188490492
threeway,THHH,0.00979731903352476
threeway,HTTT,0.009797319033524715
threeway,HTTH,0.004538486188490504
threeway,HTHT,0.05568205946813884
threeway,HTHH,0.024849072490256488
threeway,HHTT,0.004538486188490504
threeway,HHTH,0.024849072490256488
threeway,HHHT,0.024849072490256488
threeway,HHHH,0.06739736748944031
