comparison,sequence,eig
fair-bias,TTTT,0.6124544821848
fair-bias,TTTH,0.22879194982769938
fair-bias,TTHT,0.22879194982769938
fair-bias,TTHH,-5.648121571410038e-17
fair-bias,THTT,0.22879194982769938
fair-bias,THTH,-5.648121571410038e-17
fair-bias,THHT,-5.648121571410038e-17
fair-bias,THHH,0.22879194982769968
fair-bias,HTTT,0.2287919498276998
fair-bias,HTTH,-5.648121571410038e-17
fair-bias,HTHT,-5.648121571410038e-17
fair-bias,HTHH,0.22879194982769968
fair-bias,HHTT,-5.648121571410038e-17
fair-bias,HHTH,0.22879194982769968
fair-bias,HHHT,0.22879194982769968
fair-bias,HHHH,0.6124544821847997
bias-markov,TTTT,0.02113660240095658
bias-markov,TTTH,0.43259648755000724
bias-markov,TTHT,0.43259648755000724
bias-markov,TTHH,0.09342133897142525
bias-markov,THTT,0.43259648755000674
bias-markov,THTH,0.5673549055617157
bias-markov,THHT,0.09342133897142525
bias-markov,THHH,0.04615386757803753
bias-markov,HTTT,0.046153867578037744
bias-markov,HTTH,0.09342133897142488
bias-markov,HTHT,0.5673549055617161
bias-markov,HTHH,0.43259648755000707
bias-markov,HHTT,0.09342133897142488
bias-markov,HHTH,0.43259648755000707
bias-markov,HHHT,0.43259648755000707
bias-markov,HHHH,0.021136602400956488
threeway,TTTT,0.5528498429181985
threeway,TTTH,0.34365211864916695
threeway,TTHT,0.34365211864916695
threeway,TTHH,0.08358862585226262
threeway,THTT,0.3436521186491661
threeway,THTH,0.5176462807336133
threeway,THHT,0.08358862585226262
threeway,THHH,0.1660025808560741
threeway,HTTT,0.16600258085607414
threeway,HTTH,0.08358862585226218
threeway,HTHT,0.5176462807336126
threeway,HTHH,0.34365211864916745
threeway,HHTT,0.08358862585226218
threeway,HHTH,0.34365211864916745
threeway,HHHT,0.34365211864916745
threeway,HHHH,0.5528498429181986
